idx,temp
1480,4.4
1481,2.1
1482,1.5
1483,1.0
1484,0.4
1485,0.6
1486,0.9
1487,0.9
1488,0.8
1489,1.6
1490,1.8
1491,1.7
1492,1.1
1493,1.0
1494,1.8
1495,4.2
1496,6.4
1497,8.0
1498,9.3
1499,11.2
1500,13.4
1501,13.6
1502,13.6
1503,13.2
1504,11.5
1505,9.7
1506,8.5
1507,7.5
1508,7.4
1509,7.7
1510,8.5
1511,9.0
1512,9.0
1513,8.6
1514,8.1
1515,7.4
1516,7.3
1517,6.9
1518,7.7
1519,11.8
1520,15.1
1521,15.3
1522,16.6
1523,15.0
1524,15.2
1525,14.3
1526,13.5
1527,12.0
1528,9.8
1529,8.1
1530,6.7
1531,6.1
1532,5.8
1533,5.9
1534,6.2
1535,6.6
1536,7.0
1537,7.3
1538,7.2
1539,7.0
1540,6.6
1541,5.9
1542,5.7
1543,5.8
1544,5.8
1545,6.0
1546,6.9
1547,7.7
1548,7.5
1549,7.4
1550,6.7
1551,6.5
1552,6.0
1553,5.3
1554,5.4
1555,5.6
1556,5.4
1557,4.9
1558,4.5
1559,4.7
1560,4.7
1561,4.5
1562,4.3
1563,3.9
1564,3.6
1565,3.3
1566,3.3
1567,3.5
1568,3.8
1569,4.4
1570,5.1
1571,5.5
1572,5.9
1573,6.6
1574,7.0
1575,6.6
1576,6.2
1577,5.6
1578,5.2
1579,5.0
1580,4.6
1581,4.3
1582,3.6
1583,3.1
1584,2.6
1585,2.5
1586,2.3
1587,1.7
1588,0.4
1589,0.5
1590,1.4
1591,2.4
1592,3.0
1593,3.2
1594,3.8
1595,3.9
1596,4.2
1597,4.3
1598,4.5
1599,4.4
1600,3.5
1601,2.1
1602,1.0
1603,-0.9
1604,-1.2
1605,-1.5
1606,-0.6
1607,-0.7
1608,-1.1
1609,-1.4
1610,-1.5
1611,-0.5
1612,0.4
1613,0.9
1614,1.5
1615,2.6
1616,3.5
1617,4.8
1618,6.3
1619,6.0
1620,5.3
1621,4.7
1622,4.6
1623,4.2
1624,3.7
1625,3.5
1626,3.5
1627,3.4
1628,3.3
1629,3.1
1630,2.9
1631,2.9
1632,3.0
1633,2.9
1634,2.9
1635,2.9
1636,3.0
1637,2.9
1638,3.1
1639,3.7
1640,4.1
1641,5.1
1642,6.2
1643,6.5
1644,6.5
1645,6.3
1646,6.6
1647,6.2
1648,5.6
1649,5.2
1650,5.1
1651,5.0
1652,4.8
1653,4.8
1654,4.7
1655,4.6
1656,4.0
1657,2.1
1658,1.0
1659,0.3
1660,0.1
1661,1.2
1662,1.5
1663,2.1
1664,3.2
1665,4.0
1666,4.8
1667,5.4
1668,5.3
1669,5.0
1670,4.9
1671,4.4
1672,4.0
1673,3.7
1674,3.7
1675,3.7
1676,3.6
1677,3.4
1678,3.2
1679,3.3
1680,3.2
1681,3.2
1682,3.1
1683,3.1
1684,3.0
1685,2.9
1686,3.0
1687,3.3
1688,4.0
1689,4.6
1690,5.5
1691,6.2
1692,6.4
1693,5.8
1694,5.7
1695,5.6
1696,5.1
1697,4.8
1698,4.5
1699,4.3
1700,4.1
1701,3.9
1702,3.7
1703,3.5
1704,3.2
1705,2.9
1706,2.7
1707,2.6
1708,2.6
1709,2.5
1710,2.7
1711,3.5
1712,4.1
1713,4.5
1714,5.1
1715,5.6
1716,6.0
1717,5.9
1718,5.9
1719,5.8
1720,5.6
1721,5.3
1722,4.9
1723,4.6
1724,4.2
1725,4.1
1726,3.6
1727,3.2
1728,3.0
1729,2.9
1730,3.1
1731,2.7
1732,2.0
1733,1.5
1734,3.2
1735,5.3
1736,6.7
1737,8.0
1738,8.8
1739,9.7
1740,8.7
1741,9.0
1742,8.2
1743,7.1
1744,5.8
1745,3.1
1746,1.5
1747,0.6
1748,-0.5
1749,-0.5
1750,1.0
1751,1.6
1752,1.9
1753,3.9
1754,4.8
1755,4.9
1756,5.8
1757,5.4
1758,5.5
1759,6.4
1760,7.6
1761,9.1
1762,10.9
1763,11.2
1764,11.3
1765,10.4
1766,10.0
1767,9.0
1768,7.9
1769,6.6
1770,5.2
1771,4.9
1772,3.9
1773,3.7
1774,3.8
1775,2.6
1776,2.9
1777,3.2
1778,2.6
1779,2.7
1780,3.0
1781,3.5
1782,3.8
1783,4.8
1784,5.2
1785,7.3
1786,9.0
1787,8.5
1788,10.3
1789,9.6
1790,9.2
1791,8.5
1792,7.5
1793,5.4
1794,4.1
1795,3.4
1796,2.6
1797,1.4
1798,0.2
1799,-1.0
1800,-1.3
1801,-1.8
1802,-2.0
1803,-1.4
1804,-0.8
1805,0.2
1806,2.5
1807,5.1
1808,6.8
1809,8.7
1810,9.9
1811,10.8
1812,11.4
1813,11.0
1814,10.8
1815,10.6
1816,8.7
1817,7.6
1818,7.2
1819,6.8
1820,5.8
1821,5.4
1822,3.6
1823,3.2
1824,2.4
1825,1.6
1826,1.6
1827,1.8
1828,1.8
1829,1.8
1830,3.0
1831,5.4
1832,5.8
1833,5.8
1834,5.3
1835,4.7
1836,4.4
1837,4.4
1838,4.5
1839,4.4
1840,4.7
1841,5.5
1842,5.8
1843,5.0
1844,3.8
1845,3.0
1846,3.0
1847,2.9
1848,2.8
1849,2.6
1850,2.5
1851,2.2
1852,2.0
1853,2.0
1854,2.3
1855,2.8
1856,3.2
1857,4.0
1858,4.2
1859,4.6
1860,4.9
1861,5.3
1862,5.2
1863,5.0
1864,4.4
1865,4.1
1866,3.4
1867,2.7
1868,2.8
1869,2.4
1870,2.0
1871,1.9
1872,1.9
1873,1.2
1874,0.5
1875,0.3
1876,0.4
1877,0.7
1878,1.1
1879,1.7
1880,2.7
1881,4.1
1882,6.0
1883,7.0
1884,8.1
1885,9.1
1886,10.2
1887,10.1
1888,8.9
1889,8.4
1890,8.2
1891,8.2
1892,8.5
1893,8.8
1894,9.1
1895,9.5
1896,9.6
1897,9.7
1898,9.4
1899,9.6
1900,9.5
1901,9.7
1902,10.4
1903,9.4
1904,9.6
1905,11.3
1906,12.1
1907,13.2
1908,13.1
1909,12.9
1910,13.1
1911,13.1
1912,12.2
1913,10.6
1914,9.7
1915,9.6
1916,9.5
1917,9.8
1918,9.3
1919,9.1
1920,8.8
1921,8.3
1922,8.0
1923,7.8
1924,7.6
1925,5.8
1926,4.5
1927,4.7
1928,5.4
1929,6.6
1930,7.0
1931,7.5
1932,7.7
1933,7.9
1934,8.0
1935,7.7
1936,7.3
1937,6.6
1938,5.0
1939,2.8
1940,1.3
1941,2.0
1942,2.9
1943,3.1
1944,4.2
1945,4.1
1946,3.0
1947,2.4
1948,2.2
1949,4.0
1950,5.8
1951,7.3
1952,8.9
1953,9.0
1954,8.9
1955,9.7
1956,10.4
1957,9.8
1958,9.2
1959,8.1
1960,5.8
1961,5.4
1962,5.7
1963,5.8
1964,5.9
1965,5.5
1966,5.0
1967,4.9
1968,4.7
1969,4.5
1970,4.4
1971,4.3
1972,4.1
1973,4.1
1974,4.5
1975,5.5
1976,8.0
1977,9.3
1978,10.6
1979,11.6
1980,11.8
1981,11.6
1982,11.0
1983,10.8
1984,10.0
1985,8.4
1986,6.5
1987,4.0
1988,1.9
1989,0.2
1990,-0.6
1991,-1.1
1992,-1.4
1993,-1.7
1994,-1.6
1995,-1.5
1996,-0.4
1997,0.8
1998,2.1
1999,5.1
2000,8.1
2001,10.5
2002,9.6
2003,9.7
2004,9.6
